EKO 4h of Bulgaria – Final,,,,,,,,,,
,,,,,,,,,,
22/10/2022 - 14:55,,,,,,,,,,
,,,,,,,,,,
17 - SÉLESTAT KART INDOOR,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,55.533,55.026,54.805,54.733,54.738,54.545,55.04,55.2,54.621
10,54.474,54.48,54.433,54.62,54.354,55.078,55.496,54.485,54.438,54.343
20,55.219,54.352,54.635,54.675,54.84,54.405,54.413,54.182,54.652,54.654
30,54.434,54.265,54.505,54.633,54.495,54.691,54.471,54.738,54.349,54.399
40,54.389,54.49,54.673,175.578,55.611,55.024,55.279,55.153,55.316,55.229
50,55.139,55.306,54.946,55.935,55.048,55.098,55.522,55.027,55.128,55.169
60,54.88,54.956,54.636,55.122,54.702,54.882,54.75,55.556,55.725,55.291
70,54.88,55.545,55.097,55.942,55.524,55.919,54.974,55.016,55.015,54.704
80,54.931,55.428,55.017,54.958,55.416,54.929,175.643,55.287,54.925,54.779
90,54.792,54.622,55.344,54.681,54.603,55.386,55.166,54.702,54.62,54.637
100,55.35,54.745,54.657,54.721,55.382,54.782,54.767,55.107,55.444,54.805
110,55.302,54.764,54.869,55.596,174.744,174.846,55.402,55.339,54.856,54.543
120,55.222,54.969,54.769,55.017,97.49,98.906,88.681,76.702,92.392,56.696
130,55.327,57.057,55.831,55.424,55.088,54.972,54.857,54.729,55.468,55.013
140,54.878,54.437,55.092,56.015,55.341,55.457,54.854,55.71,55.241,54.922
150,54.53,55.08,55.096,54.952,54.764,175.909,55.375,56.033,55.011,54.891
160,56.036,55.178,54.564,54.632,55.674,54.791,54.911,55.239,55.079,54.437
170,54.198,54.999,55.325,54.826,54.96,54.654,54.623,54.673,54.738,54.282
180,55.057,55.016,55.397,54.525,55.05,55.159,54.47,54.746,54.525,54.518
190,54.857,54.401,55.353,54.98,55.23,54.995,54.652,175.404,55.094,54.537
200,54.78,55.063,54.574,55.255,54.804,55.678,55.002,54.806,54.613,55.242
210,54.847,55.093,55.073,54.773,55.06,55.124,54.779,55.182,54.853,54.962
220,55.071,54.968,55.045,54.837,55.105,175.647,56.163,54.941,54.749,55.142
230,55.222,54.48,174.073,54.932,55.12,54.994,54.604,54.618,54.661,55.556
240,54.594,56.088,,,,,,,,
,,,,,,,,,,
37 - FSB,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,55.399,55.193,55.386,55.006,55.127,55.132,54.795,55.515,54.728
10,54.634,55.188,54.774,54.701,55.095,55.071,54.891,56.415,55.438,54.974
20,54.82,54.958,54.88,54.828,54.857,54.561,54.608,54.485,55.187,55.567
30,54.663,55.151,54.747,54.721,55.851,55.223,55.289,55.259,55.401,54.947
40,54.857,54.345,54.81,175.314,55.611,55.462,55.309,54.849,54.616,55.056
50,54.902,55.115,55.257,54.99,56.587,56.018,55.121,54.985,54.997,55.272
60,54.593,55.15,55.059,54.942,54.717,54.911,55.172,55.614,54.963,54.915
70,54.989,54.992,54.598,55.157,55.427,55.209,55.297,55.176,55.31,55.586
80,54.943,55.323,54.976,54.886,54.925,55.528,175.311,55.506,54.872,54.662
90,54.62,54.38,55.125,55.026,54.504,56.159,54.693,54.346,54.776,54.336
100,54.308,55.205,54.357,54.33,54.694,54.243,54.496,54.87,54.6,54.411
110,54.462,54.346,56.218,54.354,54.856,175.196,176.079,54.898,54.843,54.696
120,54.778,54.347,54.906,54.632,92.33,99.319,91.411,74.097,90.561,56.637
130,56.751,56.631,57.215,56.255,55.961,55.193,56.17,55.355,55.438,54.719
140,55.414,54.92,54.995,55.669,54.956,55.094,55.154,55.183,55.597,55.063
150,54.801,56.938,54.854,175.146,57.874,55.487,55.911,56.657,55.099,55.009
160,55.07,55.13,55.393,55.439,55.117,55.225,56.227,54.97,55.252,55.351
170,56.166,55.181,55.18,55.063,55.907,55.01,55.218,55.17,57.354,55.239
180,55.294,55.576,55.301,55.196,55.848,55.183,55.472,54.973,55.535,174.652
190,55.383,55.13,55.189,55.609,55.427,55.555,55.082,55.429,55.092,55.291
200,55.776,55.489,55.087,56.249,55.067,55.089,55.756,55.348,55.319,55.026
210,55.244,55.227,55.119,55.08,55.859,55.901,55.677,55.519,55.338,55.413
220,55.335,55.704,56.273,55.417,55.81,55.311,55.587,175.027,55.34,55.194
230,54.814,175.204,55.314,54.637,54.977,55.152,55.696,55.123,55.45,54.731
240,55.124,55.168,,,,,,,,
,,,,,,,,,,
27 - PAUSILEV RACING TEAM,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,55.495,55.448,55.238,54.757,54.768,54.87,55.088,55.06,54.944
10,54.597,54.608,54.573,54.64,54.759,54.812,55.114,56.731,54.633,54.716
20,54.834,54.847,55.039,54.877,55.496,54.85,54.852,55.227,54.721,55.808
30,55.017,54.548,55.573,54.837,55.788,54.811,55.021,55.177,54.812,54.476
40,54.553,55.242,54.748,176.399,56.076,57.333,55.727,55.418,55.32,55.353
50,55.67,55.403,55.457,55.391,55.365,55.727,56.697,55.705,55.494,55.307
60,55.474,55.557,55.259,55.672,55.271,55.367,55.41,55.3,55.179,55.158
70,54.914,55.184,55.485,55.184,55.428,55.359,55.345,55.298,55.253,55.059
80,55.318,55.509,55.824,55.199,55.312,55.294,176.106,55.602,55.518,55.204
90,54.813,54.829,54.588,54.971,54.775,55.005,55.065,55.02,55.613,55.221
100,55.154,55.045,55.287,55.311,54.945,55.005,54.987,54.819,55.252,55.013
110,54.86,55.534,55.571,55.683,55.342,174.019,55.807,54.827,54.87,56.297
120,54.84,54.72,55.142,54.809,54.849,106.483,95.216,89.729,78.963,100.897
130,57.426,55.667,55.435,55.625,55.69,55.464,55.634,55.574,55.533,55.525
140,55.573,55.292,55.105,56.045,54.91,55.218,55.299,55.481,55.499,55.58
150,55.088,55.26,55.515,56.495,56.046,176.494,55.098,55.129,54.838,55.307
160,55.266,55.178,55.274,55.138,55.499,55.815,55.244,55.175,55.041,54.862
170,55.017,55.004,55.061,176.21,55.151,56.052,55.496,55.156,55.24,174.881
180,55.687,55.607,173.997,55.193,54.812,54.722,54.793,54.82,54.819,54.616
190,55.228,54.999,55.414,55.68,54.8,54.721,54.674,54.958,54.798,55.64
200,54.864,55.27,54.781,55.201,54.918,54.609,54.71,54.917,54.739,55.531
210,56.346,54.922,54.725,55.435,55.594,55.211,54.749,54.64,54.927,55.078
220,54.882,54.964,54.872,55.219,173.463,54.397,54.534,54.909,55.555,54.965
230,54.353,54.155,54.874,54.926,54.569,54.465,55.211,55.135,55.24,54.965
240,55.261,,,,,,,,,
,,,,,,,,,,
48 - SLOW BUT TRYING,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,55.653,55.952,55.249,55.558,55.615,55.655,56.513,56.487,56.584
10,55.399,55.203,55.409,55.428,55.356,55.207,55.209,55.322,55.223,55.383
20,55.173,55.532,55.523,55.305,55.378,55.37,55.226,55.32,55.319,55.64
30,55.235,55.945,56.906,55.336,55.472,55.327,55.596,55.355,55.434,55.363
40,55.134,55.802,175.033,56.55,54.992,55.795,55.157,55.044,56.456,55.329
50,54.839,55.133,55.302,55.094,55.078,54.959,54.751,54.954,55.215,55.124
60,55.037,55.216,55.637,54.839,55.264,54.955,56.167,55.132,54.769,54.976
70,54.969,55.135,54.968,54.909,55.243,55.115,55.009,54.895,55.284,55.301
80,55.43,54.935,54.699,55.175,54.629,175.455,57.002,56.032,55.513,55.54
90,55.222,55.408,55.387,55.273,55.677,55.586,55.671,56.167,55.187,55.152
100,55.089,55.996,54.987,55.251,55.016,55.922,55.573,55.691,55.562,55.326
110,55.139,54.875,55.388,55.42,176.995,55.735,55.333,55.266,55.068,54.806
120,55.014,54.721,55.176,55.137,56.606,98.16,98.387,84.369,79.994,93.797
130,59.621,55.862,57.747,54.89,55.953,55.715,55.321,55.136,55.421,55.611
140,54.867,54.942,55.186,54.968,55.044,55.467,55.239,54.898,54.91,55.153
150,55.646,54.966,54.903,55.52,175.767,55.374,54.976,55.205,55.529,55.415
160,55.292,54.8,55.85,55.148,54.933,54.925,55.578,55.206,54.866,55.691
170,54.725,55.142,54.874,54.574,54.641,54.921,55.101,55.218,54.723,54.897
180,55.104,54.723,54.798,54.758,54.883,54.669,54.804,55.064,55.138,55.365
190,54.887,54.98,54.659,54.933,55.13,55.255,55.347,175.224,175.33,54.895
200,55.5,54.779,55.22,54.784,54.985,55.127,54.719,55,54.808,55.119
210,55.494,54.639,54.989,54.881,54.688,54.923,55.053,55.241,54.775,54.888
220,54.625,54.954,54.814,54.966,56.056,175.085,54.987,54.972,55.094,55.313
230,174.488,56.009,55.365,54.799,55.118,55.153,55.062,55.419,55.054,55.584
240,55.651,,,,,,,,,
,,,,,,,,,,
29 - VZ INTERCOM RACING,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,55.181,55.073,54.78,54.711,54.778,54.546,55.046,55.59,54.676
